fips_code,name,state,lat,lon
1059,Franklin,Alabama,34.44238135,-87.843283
13111,Fannin,Georgia,34.86412558,-84.31929617
19109,Kossuth,Iowa,43.20413984,-94.20689787
40115,Ottawa,Oklahoma,36.83587796,-94.81058917
42115,Susquehanna,Pennsylvania,41.82127676,-75.80090451
40053,Grant,Oklahoma,36.79651364,-97.78493404
31029,Chase,Nebraska,40.52371008,-101.6979407
29213,Taney,Missouri,36.65473646,-93.04127586
32510,Carson City,Nevada,39.15108405,-119.7473502
12049,Hardee,Florida,27.49319733,-81.80953792
5023,Cleburne,Arkansas,35.53853919,-92.02725586
48017,Bailey,Texas,34.06860316,-102.8298267
49037,San Juan,Utah,37.62607487,-109.8043936
31143,Polk,Nebraska,41.18687055,-97.56825226
42075,Lebanon,Pennsylvania,40.36716938,-76.45759104
35028,Los Alamos,New Mexico,35.86926339,-106.3065081
40137,Stephens,Oklahoma,34.48542286,-97.85148899
40081,Lincoln,Oklahoma,35.7027284,-96.88123961
19031,Cedar,Iowa,41.77233777,-91.13246684
19069,Franklin,Iowa,42.73270384,-93.26256925
20151,Pratt,Kansas,37.6478469,-98.73915959
28099,Neshoba,Mississippi,32.7532893,-89.11732685
29167,Polk,Missouri,37.61649452,-93.40034649
27101,Murray,Minnesota,44.02216709,-95.76328482
29121,Macon,Missouri,39.83049768,-92.56453089
55039,Fond du Lac,Wisconsin,43.75354908,-88.48885325
47169,Trousdale,Tennessee,36.39236244,-86.15630295
51683,Manassas,Virginia,38.7478445,-77.48515474
48329,Midland,Texas,31.86904128,-102.0315682
48251,Johnson,Texas,32.3788142,-97.36618817
48171,Gillespie,Texas,30.31824095,-98.94676915
55137,Waushara,Wisconsin,44.11328215,-89.24316913
4015,Mohave,Arizona,35.70456821,-113.7581706
12015,Charlotte,Florida,26.90579274,-81.91185513
20039,Decatur,Kansas,39.78469039,-100.4593928
21057,Cumberland,Kentucky,36.78661047,-85.38857248
46097,Miner,South Dakota,44.02197882,-97.60992207
41033,Josephine,Oregon,42.36551155,-123.5552595
41015,Curry,Oregon,42.45776177,-124.1560919
35006,Cibola,New Mexico,34.91240949,-107.9992972
26001,Alcona,Michigan,44.68477825,-83.59385271
6105,Trinity,California,40.65059444,-123.1126773
1103,Morgan,Alabama,34.45331009,-86.85325062
31159,Seward,Nebraska,40.8724014,-97.13966029
40153,Woodward,Oklahoma,36.42251383,-99.26427063
39063,Hancock,Ohio,41.00178146,-83.66630827
36057,Montgomery,New York,42.90217659,-74.43985937
18139,Rush,Indiana,39.62002576,-85.46543335
29139,Montgomery,Missouri,38.94128519,-91.47020839
20097,Kiowa,Kansas,37.55841651,-99.28576492
28117,Prentiss,Mississippi,34.61811436,-88.51976883
17189,Washington,Illinois,38.35241923,-89.41050166
31171,Thomas,Nebraska,41.91358968,-100.5556632
29017,Bollinger,Missouri,37.3219182,-90.02562128
13149,Heard,Georgia,33.296853,-85.12848262
48085,Collin,Texas,33.18822716,-96.57266803
48107,Crosby,Texas,33.61431553,-101.3000364
48081,Coke,Texas,31.88933528,-100.5295971
21171,Monroe,Kentucky,36.71217333,-85.71679611
12003,Baker,Florida,30.3309289,-82.28452499
20089,Jewell,Kansas,39.7847206,-98.21822331
26017,Bay,Michigan,43.70716549,-83.99005144
37153,Richmond,North Carolina,35.00590629,-79.74711644
29023,Butler,Missouri,36.71638784,-90.40672985
27105,Nobles,Minnesota,43.67428858,-95.75326093
23001,Androscoggin,Maine,44.16543634,-70.20524042
51735,Poquoson,Virginia,37.1307115,-76.35566972
1013,Butler,Alabama,31.75252432,-86.68040924
37003,Alexander,North Carolina,35.92074753,-81.17692946
37063,Durham,North Carolina,36.03605321,-78.87606872
38027,Eddy,North Dakota,47.71748723,-98.90182925
36093,Schenectady,New York,42.81832249,-74.05833636
27079,Le Sueur,Minnesota,44.37144158,-93.72984216
29055,Crawford,Missouri,37.97649081,-91.30516204
