fips_code,name,lon,lat,state_fips,state,avg_temp_max,avg_temp_min,avg_rain,total_rain,avg_uv_index,max_uv_index,total_snowfall,avg_precip_hours,total_precip_hours,forecast_days
1059,Franklin,-87.843283,34.44238135,01,Alabama,22.212002,12.917786,0.34285715,2.4,5.964286,7.25,0.0,3.4285715,24.0,7
13111,Fannin,-84.31929617,34.86412558,13,Georgia,20.682142,10.307286,0.08571429,0.6,6.7142854,7.349999904632568,0.0,3.4285715,24.0,7
19109,Kossuth,-94.20689787,43.20413984,19,Iowa,16.540358,1.568,0.31428576,2.2000003,4.678571,5.949999809265137,1.05,2.0,14.0,7
40115,Ottawa,-94.81058917,36.83587796,40,Oklahoma,23.560928,12.119928,2.6285717,18.400002,5.4214287,6.949999809265137,0.0,5.285714,37.0,7
42115,Susquehanna,-75.80090451,41.82127676,42,Pennsylvania,11.925428,1.661143,1.9964284,13.974998,2.9714286,5.349999904632568,0.0,5.428571,38.0,7
40053,Grant,-97.78493404,36.79651364,40,Oklahoma,24.791927,11.132643,0.8142857,5.7,5.692857,7.0,0.0,3.4285715,24.0,7
31029,Chase,-101.6979407,40.52371008,31,Nebraska,22.673857,5.6692147,0.54285717,3.8000002,5.864286,6.900000095367432,0.14,1.1428572,8.0,7
29213,Taney,-93.04127586,36.65473646,29,Missouri,23.811502,12.266287,1.914286,13.4000025,5.45,6.849999904632568,0.0,5.285714,37.0,7
32510,Carson City,-119.7473502,39.15108405,32,Nevada,16.778788,5.678786,0.31428573,2.2,6.2428575,7.099999904632568,0.0,2.0,14.0,7
12049,Hardee,-81.80953792,27.49319733,12,Florida,29.418339,18.98093,0.014285714,0.1,7.407143,8.050000190734863,0.0,1.2857143,9.0,7
5023,Cleburne,-92.02725586,35.53853919,05,Arkansas,24.658644,12.839,0.59999996,4.2,6.1142855,6.900000095367432,0.0,2.142857,15.0,7
48017,Bailey,-102.8298267,34.06860316,48,Texas,27.962286,10.133072,0.0,0.0,7.0785713,7.599999904632568,0.0,0.0,0.0,7
49037,San Juan,-109.8043936,37.62607487,49,Utah,15.932643,3.7545714,1.9285716,13.500001,6.9357147,7.349999904632568,0.14,2.0,14.0,7
31143,Polk,-97.56825226,41.18687055,31,Nebraska,17.571285,4.585857,0.7999999,5.5999994,4.407143,6.550000190734863,1.82,3.0,21.0,7
42075,Lebanon,-76.45759104,40.36716938,42,Pennsylvania,17.853214,6.41,0.3571429,2.5000002,4.342857,5.900000095367432,0.0,5.142857,36.0,7
35028,Los Alamos,-106.3065081,35.86926339,35,New Mexico,18.544216,6.169071,0.61428565,4.2999997,7.1,7.599999904632568,0.21000001,2.142857,15.0,7
40137,Stephens,-97.85148899,34.48542286,40,Oklahoma,25.930643,14.230356,6.228572,43.600002,6.1357145,7.25,0.0,2.7142856,19.0,7
40081,Lincoln,-96.88123961,35.7027284,40,Oklahoma,25.143002,13.176215,6.542857,45.8,5.942857,7.050000190734863,0.0,3.5714285,25.0,7
19031,Cedar,-91.13246684,41.77233777,19,Iowa,17.057356,3.4675715,1.8571426,12.999998,4.85,6.099999904632568,3.7799997,4.0,28.0,7
19069,Franklin,-93.26256925,42.73270384,19,Iowa,15.783072,2.0259287,0.49999994,3.4999995,4.75,6.0,2.5200002,2.142857,15.0,7
20151,Pratt,-98.73915959,37.6478469,20,Kansas,25.597502,9.678,0.5857142,4.0999994,5.942857,7.099999904632568,0.0,2.4285715,17.0,7
28099,Neshoba,-89.11732685,32.7532893,28,Mississippi,25.124071,14.512643,0.21428575,1.5000002,6.3142858,7.400000095367432,0.0,3.5714285,25.0,7
29167,Polk,-93.40034649,37.61649452,29,Missouri,22.011786,10.732927,10.285713,71.99999,5.3571434,6.849999904632568,0.0,5.714286,40.0,7
27101,Murray,-95.76328482,44.02216709,27,Minnesota,15.696785,0.6331429,0.028571429,0.2,4.5142856,6.050000190734863,0.21000001,0.71428573,5.0,7
29121,Macon,-92.56453089,39.83049768,29,Missouri,19.118427,6.372429,4.1714287,29.2,4.45,6.5,0.0,3.7142856,26.0,7
55039,Fond du Lac,-88.48885325,43.75354908,55,Wisconsin,10.4197855,0.777643,0.38571432,2.7000003,3.8285713,5.599999904632568,3.2199998,5.285714,37.0,7
47169,Trousdale,-86.15630295,36.39236244,47,Tennessee,22.012644,12.164573,0.042857144,0.3,5.664286,6.800000190734863,0.0,5.571429,39.0,7
51683,Manassas,-77.48515474,38.7478445,51,Virginia,21.839787,10.295073,0.0,0.0,6.0071425,6.449999809265137,0.0,2.142857,15.0,7
48329,Midland,-102.0315682,31.86904128,48,Texas,28.996355,14.301356,0.028571429,0.2,7.5285716,7.75,0.0,0.5714286,4.0,7
48251,Johnson,-97.36618817,32.3788142,48,Texas,26.148357,15.004286,4.7142863,33.000004,6.1714287,7.400000095367432,0.0,2.142857,15.0,7
48171,Gillespie,-98.94676915,30.31824095,48,Texas,25.773428,13.785856,3.6714287,25.7,6.428572,7.699999809265137,0.0,1.2857143,9.0,7
55137,Waushara,-89.24316913,44.11328215,55,Wisconsin,10.529286,-0.58492863,0.38571432,2.7000003,3.6785717,5.550000190734863,3.85,5.285714,37.0,7
4015,Mohave,-113.7581706,35.70456821,04,Arizona,21.255358,10.869642,0.14285715,1.0,6.8857145,7.300000190734863,0.0,0.42857143,3.0,7
12015,Charlotte,-81.91185513,26.90579274,12,Florida,29.410213,19.262072,4.207143,29.45,6.9357142,8.100000381469727,0.0,1.4285715,10.0,7
20039,Decatur,-100.4593928,39.78469039,20,Kansas,22.238787,6.375072,0.87142855,6.1,5.928571,6.949999809265137,0.84000003,1.4285715,10.0,7
21057,Cumberland,-85.38857248,36.78661047,21,Kentucky,22.510786,11.681715,0.042857144,0.3,5.7214284,6.699999809265137,0.0,3.7142856,26.0,7
46097,Miner,-97.60992207,44.02197882,46,South Dakota,16.512857,2.6923573,0.10000001,0.70000005,4.657143,6.099999904632568,0.0,1.0,7.0,7
41033,Josephine,-123.5552595,42.36551155,41,Oregon,16.736643,3.2223573,7.7142863,54.000004,5.442857,6.199999809265137,0.14,4.285714,30.0,7
41015,Curry,-124.1560919,42.45776177,41,Oregon,11.926285,0.6480713,10.157143,71.1,5.307143,6.150000095367432,1.47,5.142857,36.0,7
35006,Cibola,-107.9992972,34.91240949,35,New Mexico,19.547071,5.0542145,0.3285714,2.3,7.1428566,7.699999809265137,0.42000002,0.85714287,6.0,7
26001,Alcona,-83.59385271,44.68477825,26,Michigan,6.8154287,-1.1320715,0.9142857,6.4,3.4285712,5.25,4.83,6.285714,44.0,7
6105,Trinity,-123.1126773,40.65059444,06,California,12.456643,0.93521386,1.1571428,8.099999,5.7000003,6.650000095367432,0.0,3.4285715,24.0,7
1103,Morgan,-86.85325062,34.45331009,01,Alabama,22.977663,12.539071,0.0,0.0,6.4714284,7.300000190734863,0.0,3.142857,22.0,7
31159,Seward,-97.13966029,40.8724014,31,Nebraska,18.056787,4.9105,1.1,7.7,4.4571424,6.599999904632568,0.7,2.4285715,17.0,7
40153,Woodward,-99.26427063,36.42251383,40,Oklahoma,26.086498,11.325714,0.25714287,1.8000001,5.885714,7.199999809265137,0.0,1.8571428,13.0,7
39063,Hancock,-83.66630827,41.00178146,39,Ohio,18.129642,6.190857,1.6428572,11.5,3.8714287,5.900000095367432,0.0,6.571429,46.0,7
36057,Montgomery,-74.43985937,42.90217659,36,New York,11.166249,2.1620002,5.285714,37.0,3.3500001,5.0,0.0,7.571429,53.0,7
18139,Rush,-85.46543335,39.62002576,18,Indiana,18.729712,8.075071,0.84285706,5.8999996,4.692857,6.300000190734863,0.0,3.142857,22.0,7
29139,Montgomery,-91.47020839,38.94128519,29,Missouri,20.84564,8.905214,9.257142,64.799995,4.9785714,6.550000190734863,0.0,5.285714,37.0,7
20097,Kiowa,-99.28576492,37.55841651,20,Kansas,25.526571,9.825286,0.57142854,3.9999998,5.921428,7.150000095367432,0.0,1.5714285,11.0,7
28117,Prentiss,-88.51976883,34.61811436,28,Mississippi,22.938074,13.159785,1.0714285,7.4999995,5.692857,7.199999809265137,0.0,4.0,28.0,7
17189,Washington,-89.41050166,38.35241923,17,Illinois,21.414354,10.456285,3.7571428,26.3,4.835714,6.5,0.0,4.857143,34.0,7
31171,Thomas,-100.5556632,41.91358968,31,Nebraska,20.100859,4.3266435,0.37142855,2.6,5.3285713,6.650000095367432,0.84000003,2.142857,15.0,7
29017,Bollinger,-90.02562128,37.3219182,29,Missouri,22.182413,11.803499,0.42857143,3.0,5.7214284,6.650000095367432,0.0,4.428571,31.0,7
13149,Heard,-85.12848262,33.296853,13,Georgia,24.222788,12.344286,0.25714284,1.8,6.635714,7.349999904632568,0.0,3.0,21.0,7
48085,Collin,-96.57266803,33.18822716,48,Texas,26.245426,15.1635,4.1857142,29.300001,6.0214286,7.300000190734863,0.0,1.4285715,10.0,7
48107,Crosby,-101.3000364,33.61431553,48,Texas,27.339716,12.445143,0.0,0.0,6.7857146,7.599999904632568,0.0,0.5714286,4.0,7
48081,Coke,-100.5295971,31.88933528,48,Texas,29.419287,14.481286,0.0,0.0,6.9000006,7.650000095367432,0.0,0.14285715,1.0,7
21171,Monroe,-85.71679611,36.71217333,21,Kentucky,21.325499,11.641286,0.08571429,0.6,5.928571,6.75,0.0,4.0,28.0,7
12003,Baker,-82.28452499,30.3309289,12,Florida,27.856339,15.5985,0.0,0.0,6.2000003,7.449999809265137,0.0,1.8571428,13.0,7
20089,Jewell,-98.21822331,39.7847206,20,Kansas,20.814499,6.394858,1.3,9.099999,4.7714286,6.75,0.14,1.5714285,11.0,7
26017,Bay,-83.99005144,43.70716549,26,Michigan,10.087501,1.2828572,1.9142855,13.399999,3.4071426,5.25,5.4600005,6.285714,44.0,7
37153,Richmond,-79.74711644,35.00590629,37,North Carolina,25.005716,11.463786,0.0,0.0,6.671428,7.150000095367432,0.0,0.71428573,5.0,7
29023,Butler,-90.40672985,36.71638784,29,Missouri,22.48643,12.458642,0.8714285,6.0999994,5.4714284,6.75,0.0,3.2857144,23.0,7
27105,Nobles,-95.75326093,43.67428858,27,Minnesota,15.702785,0.92728573,0.15714286,1.1,4.2785716,5.75,0.21000001,1.5714285,11.0,7
23001,Androscoggin,-70.20524042,44.16543634,23,Maine,8.732715,-1.7240714,2.5142858,17.6,3.8000004,5.25,5.1800003,7.857143,55.0,7
51735,Poquoson,-76.35566972,37.1307115,51,Virginia,21.786856,11.953643,0.3,2.1000001,6.664285,6.75,0.0,0.5714286,4.0,7
1013,Butler,-86.68040924,31.75252432,01,Alabama,26.138498,14.722358,0.0,0.0,6.335715,7.5,0.0,2.4285715,17.0,7
37003,Alexander,-81.17692946,35.92074753,37,North Carolina,21.917858,9.520643,0.014285714,0.1,6.2571425,6.949999809265137,0.0,2.857143,20.0,7
37063,Durham,-78.87606872,36.03605321,37,North Carolina,24.203785,11.335501,0.7571429,5.3,6.607143,7.0,0.0,0.85714287,6.0,7
38027,Eddy,-98.90182925,47.71748723,38,North Dakota,8.658428,-2.3130002,0.7142857,4.9999995,4.4785714,5.800000190734863,3.9899998,4.142857,29.0,7
36093,Schenectady,-74.05833636,42.81832249,36,New York,10.489963,1.2985,2.8142855,19.699999,3.8071427,5.0,0.0,6.428571,45.0,7
27079,Le Sueur,-93.72984216,44.37144158,27,Minnesota,15.585358,0.18035711,0.071428575,0.5,4.75,5.699999809265137,0.21000001,0.85714287,6.0,7
29055,Crawford,-91.30516204,37.97649081,29,Missouri,22.218428,10.535787,8.385715,58.700005,4.828572,6.650000095367432,0.0,6.0,42.0,7
28107,Panola,-89.95079634,34.3639856,28,Mississippi,24.524784,14.068,0.42857143,3.0,6.342857,7.25,0.0,4.0,28.0,7
19027,Carroll,-94.86032705,42.03617207,19,Iowa,17.181501,3.0541427,0.49999994,3.4999995,4.3,6.300000190734863,0.56,2.5714285,18.0,7
19075,Grundy,-92.7914653,42.40195716,19,Iowa,16.259714,1.5898571,1.0714284,7.4999986,4.557143,6.050000190734863,3.4299998,3.2857144,23.0,7
28131,Stone,-89.11764244,30.7900413,28,Mississippi,26.651,17.170286,0.0,0.0,6.635714,7.599999904632568,0.0,2.142857,15.0,7
46003,Aurora,-98.56175096,43.7180875,46,South Dakota,17.07657,2.2337143,0.014285714,0.1,4.4571424,6.199999809265137,0.14,0.42857143,3.0,7
29173,Ralls,-91.52194283,39.5275593,29,Missouri,20.18157,7.6542144,8.114286,56.800003,4.7999997,6.5,0.0,4.857143,34.0,7
48433,Stonewall,-100.2538401,33.17906744,48,Texas,30.16243,14.811501,0.0,0.0,6.4785714,7.5,0.0,0.42857143,3.0,7
4005,Coconino,-111.7705493,35.83875351,04,Arizona,18.415499,6.4065714,0.25714287,1.8000001,6.735714,7.300000190734863,0.0,0.85714287,6.0,7
8081,Moffat,-108.2075581,40.61858161,08,Colorado,17.611856,3.3035717,0.45714283,3.1999998,6.1714287,7.050000190734863,1.4,3.5714285,25.0,7
18141,St. Joseph,-86.29001543,41.61670349,18,Indiana,15.963858,4.494571,3.471429,24.300003,4.7071424,5.949999809265137,0.97999996,5.857143,41.0,7
5095,Monroe,-91.20394825,34.67772323,05,Arkansas,25.275286,14.032428,0.34285715,2.4,6.5785713,7.25,0.0,2.7142856,19.0,7
39037,Darke,-84.61945793,40.13381861,39,Ohio,18.288858,7.154072,0.91428566,6.3999996,4.342857,6.099999904632568,0.0,2.4285715,17.0,7
28003,Alcorn,-88.57997736,34.88083218,28,Mississippi,23.074144,12.926071,0.9999999,6.999999,6.2999997,7.150000095367432,0.0,3.0,21.0,7
2105,Hoonah-Angoon,-135.6386611,58.28575804,02,Alaska,1.6725,-3.3989282,0.58571434,4.1000004,3.242857,4.050000190734863,3.8500004,6.571429,46.0,7
12067,Lafayette,-83.18086561,29.98555842,12,Florida,28.573889,16.024286,0.0,0.0,6.664286,7.349999904632568,0.0,1.5714285,11.0,7
2290,Yukon-Koyukuk,-151.3897031,65.50922918,02,Alaska,-7.4389997,-18.003284,0.0,0.0,3.3714287,3.5,0.0,0.0,0.0,7
51590,Danville,-79.40912354,36.58309677,51,Virginia,22.638714,10.345357,1.4142857,9.9,6.5,6.949999809265137,0.0,2.142857,15.0,7
40063,Hughes,-96.25062134,35.04854478,40,Oklahoma,24.355358,13.807786,1.9714286,13.8,5.7714286,7.099999904632568,0.0,4.285714,30.0,7
38047,Logan,-99.47712748,46.45733694,38,North Dakota,12.491929,-0.74378574,0.5285714,3.7,4.9857144,5.75,0.14,1.8571428,13.0,7
39077,Huron,-82.59842269,41.14651716,39,Ohio,17.306429,5.7187853,1.8857144,13.200001,3.3714283,5.849999904632568,0.0,5.571429,39.0,7
39021,Champaign,-83.76966912,40.13766698,39,Ohio,18.227428,7.257,0.45714286,3.2,4.385714,6.099999904632568,0.0,3.142857,22.0,7
31053,Dodge,-96.6539044,41.57781563,31,Nebraska,17.734072,4.2955713,1.1285714,7.8999996,4.2357144,6.449999809265137,0.07,3.4285715,24.0,7
